Phase,Mag,MagErr,Curve
0.000000,12.872323,0.008764,12.828459
0.025474,12.732578,0.009684,12.693482
0.052372,12.612550,0.010307,12.604102
0.078558,12.542265,0.006977,12.561366
0.105464,12.456923,0.006805,12.541772
0.131653,12.460500,0.004118,12.526156
0.157846,12.469205,0.004878,12.505488
0.184758,12.474129,0.006845,12.487632
0.210908,12.528191,0.007949,12.495430
0.237736,12.600210,0.008262,12.554852
0.263212,12.714017,0.008636,12.673485
0.290694,12.865741,0.006357,12.863486
0.316168,13.071559,0.005422,13.070010
0.343815,13.298131,0.008086,13.279805
0.369288,13.372192,0.006079,13.415032
0.397115,13.469635,0.009079,13.462757
0.422589,13.485566,0.009243,13.405895
0.449518,13.297427,0.009307,13.258754
0.475720,13.056292,0.008467,13.066063
0.506492,12.817411,0.008651,12.834272
0.534615,12.619876,0.007090,12.660360
0.561245,12.547688,0.007323,12.546400
0.589029,12.456491,0.004999,12.476099
0.610258,12.409646,0.005701,12.446158
0.659010,12.438667,0.006925,12.421388
0.684483,12.446465,0.009241,12.434190
0.711395,12.515230,0.008479,12.483478
0.737588,12.617119,0.008267,12.581884
0.764522,12.721323,0.010253,12.740120
0.790727,12.924737,0.008559,12.936420
0.817627,13.091395,0.006962,13.148475
0.843813,13.357403,0.011953,13.322590
0.870022,13.543204,0.010575,13.425297
0.896964,13.465389,0.007583,13.431613
0.923788,13.293979,0.011171,13.338853
0.951964,13.153531,0.008676,13.164708
0.977438,12.993406,0.012036,12.980722
0.004897,12.826878,0.009842,12.798945
0.030371,12.687024,0.012871,12.673142
0.058064,12.588998,0.019963,12.591692
0.083537,12.500859,0.014963,12.556591
0.849162,13.375935,0.010120,13.350437
0.874636,13.587685,0.009954,13.433850
0.901644,13.425579,0.012570,13.422092
0.927884,13.238598,0.009022,13.317404
0.955122,13.074653,0.008807,13.142372
0.981478,12.937406,0.008642,12.951964
0.007715,12.810893,0.005793,12.782676
0.034716,12.713039,0.008924,12.656656
0.060903,12.720841,0.027704,12.586230
0.087805,12.568202,0.022677,12.553054
0.113279,12.513798,0.032531,12.537443
0.149393,12.642785,0.034697,12.512546
0.175604,12.375850,0.045104,12.492097
0.202552,12.576238,0.018731,12.488657
0.228748,12.573724,0.010619,12.527847
0.255669,12.657129,0.007082,12.631925
0.281144,12.806677,0.008330,12.791598
0.308788,12.983600,0.010919,13.009435
0.334262,13.183234,0.011478,13.212315
0.402978,13.507075,0.010310,13.457973
0.428434,13.458142,0.010904,13.380503
0.455375,13.219181,0.013086,13.218396
0.481574,13.004549,0.012170,13.020700
0.512170,12.783791,0.006524,12.795217
0.540206,12.643023,0.006809,12.632216
0.566798,12.526363,0.012717,12.528787
0.594509,12.455617,0.007634,12.466796
0.620722,12.440924,0.007332,12.436432
0.647674,12.436951,0.007890,12.422459
0.673886,12.443032,0.005506,12.425778
0.700838,12.506355,0.005841,12.458642
0.726311,12.557004,0.006734,12.532744
0.771183,12.755612,0.007852,12.787026
0.796656,13.015903,0.010551,12.983698
0.824422,13.152745,0.032492,13.198494
0.849896,13.330214,0.039986,13.354005
0.876919,13.560705,0.011248,13.436950
0.903170,13.447382,0.007503,13.418337
0.930122,13.241888,0.008624,13.305011
0.956336,13.081267,0.007707,13.133705
0.982546,12.935665,0.006616,12.944444
0.009491,12.784446,0.009427,12.772705
0.035726,12.647758,0.009114,12.653031
0.062723,12.597738,0.008146,12.582970
0.083951,12.721854,0.025014,12.556227
0.809138,13.030627,0.010870,13.083005
0.834613,13.206969,0.012021,13.267758
0.861587,13.471127,0.009353,13.401930
0.887874,13.495848,0.010522,13.441259
0.914761,13.333256,0.007301,13.379906
0.940942,13.172612,0.006694,13.239295
0.967173,13.009470,0.011792,13.055158
0.994163,12.872940,0.010666,12.865547
0.020418,12.722090,0.010298,12.716441
0.047456,12.571521,0.003310,12.616510
0.072930,12.527537,0.007824,12.567797
0.100408,12.491765,0.011096,12.544655
0.125881,12.450233,0.004451,12.529988
0.153409,12.456628,0.009210,12.509201
0.178882,12.426836,0.009742,12.490218
0.206451,12.509538,0.009434,12.491229
0.231927,12.558619,0.006979,12.536531
0.259049,12.665792,0.008499,12.649900
0.285346,12.810059,0.008754,12.822603
0.312439,13.001458,0.006626,13.039453
0.338723,13.198769,0.005817,13.244708
0.364880,13.297902,0.006220,13.397242
0.391728,13.409731,0.005826,13.462574
0.417946,13.449922,0.007669,13.423001
0.444901,13.326855,0.008504,13.288866
0.470377,13.070059,0.009219,13.107222
0.503815,12.831607,0.006109,12.853261
0.529288,12.679652,0.010418,12.689269
0.558204,12.568182,0.008691,12.556898
0.583677,12.497586,0.005929,12.486453
0.611341,12.466868,0.008620,12.445021
0.636814,12.424262,0.008220,12.426278
0.663873,12.432137,0.009664,12.422010
0.690141,12.421571,0.008251,12.440917
0.717073,12.480087,0.007647,12.500184
0.743276,12.591637,0.008444,12.610627
0.769478,12.739968,0.008665,12.774774
0.796414,12.888503,0.007163,12.981762
0.822566,13.153174,0.007653,13.185096
0.849391,13.333558,0.008137,13.351561
0.874865,13.549305,0.012612,13.434195
0.902410,13.397108,0.008400,13.420245
0.927884,13.217500,0.006270,13.317407
0.955560,13.112518,0.006909,13.139250
0.981034,12.912913,0.007978,12.955103
0.008762,12.805543,0.008476,12.776774
0.034236,12.681210,0.008867,12.658408
0.051218,12.655367,0.010737,12.606869
